Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
"OQEMA, s.r.o.",12083,Mladen Vidojevic,0.13188355,0.018223235,0,1,0.398515498,0,0,0,80.16459928,1,,2
GRANUDAN RELEASE COATS,13867,Dimitrios Ntounas,0.003297089,0.006833713,0,0.8,0.772,0,0,0,80.13159703,1,,2
RAVAGO CHEMICALS UKRAINE LLC,21876,Oksana Senchyshyn,0.010312171,0.009111617,0,0.625,0.93,0,0,0,80.08793202,1,,2
Green Miles Chemicals doo,20591,Dimitrios Ntounas,0.038653104,0,0,0.947368421,0.615681818,0,0,0,80.08516717,1,,2
Shreeshyam Oleo Chemicals Pvt Ltd,2566,Florian Pagels,0,0,0,0,0,0,0,0.4,80,1,,3
Ecochem International NV,18403,Houcem Bakkari,0.009961417,0.002277904,0,0.75,0.83,0,0,0,79.95365172,1,,2
Vink Chemicals GmbH & Co. KG,12234,Maximilian Skaba,0.063767099,0.027334852,0,0.772727273,0.650606061,0,0,0,79.82199202,1,,2
Asal Boya Kimya San. Tic Ltd Sti,6628,Umut Öztürk,0.033742546,0.009111617,0,0.923076923,0.602307692,0,0,0,79.77868156,1,,2
Biesterfeld Spezialchemie GmbH,21246,Alexander Kronenberg,0.027358821,0,0,1,0.565307263,0,0,0,79.6333042,1,,2
Dominik Georg Luh Technografit GmBH,2903,Florian Pagels,0.066222378,0.002277904,0.009090909,0.925925926,0.554444444,0,0,0,79.60340011,1,,2
Will & Co,2182,Juan Alvarado,0.049456331,0,0,1,0.542,0,0,0,79.57281656,1,,2
